
Производство арматуры Сортовой прокат_Арматура,8348.0
Производство арматуры Сортовой прокат_Катанка,3036.0
Производство арматуры Сортовой прокат_Прутки прочие,2681.0
Производство сырья ЖРС_Агломерат,53502.0
Производство сырья ЖРС_Аглоруда,4833.0
Производство сырья ЖРС_Концентрат,106175.0
Производство сырья ЖРС_Концентрат для дообогащения,6596.0
Производство сырья ЖРС_Окатыши,49920.0
Производство сырья Кокс_Кокс валовый,24837.0
Производство сырья Концентрат коксующегося угля_Жирные,35240.0
Производство сырья Концентрат коксующегося угля_Коксовые,24892.0
Производство сырья Концентрат коксующегося угля_Отощающие,4034.0
Производство сырья Металлизованная продукция_ГБЖ,4031.0
Производство сырья Металлизованная продукция_ПВЖ,2812.0
Производство сырья Рядовой коксующийся уголь_Газовые,4074.0
Производство сырья Рядовой коксующийся уголь_Жирные,47019.0
Производство сырья Рядовой коксующийся уголь_Коксовые,21828.0
Производство сырья Рядовой коксующийся уголь_Отощающие,15507.0
Производство сырья Сталь_Конвертер,42942.0
Производство сырья Сталь_Мартен,1463.0
Производство сырья Сталь_Сталь всего,66740.0
Производство сырья Сталь_Электропечь,22344.0
Производство сырья Чугун_Чугун,47781.0
ПотреблениеЖРС_Концентрат,40709.0
ПотреблениеЖРС_Агломерат,3883.0
ПотреблениеЖРС_Окатыши,29399.0
ПотреблениеЖРС_Концентрат для дообогащения,5675.0
ПотреблениеЖРС_Аглоруда,4562.0
Поставки Сортовой прокат_Арматура,6903.0
Поставки Сортовой прокат_Катанка,2247.0
Поставки Сортовой прокат_Прутки прочие,2076.0
Поставки Концентрат коксующегося угля_Жирные,16894.0
Поставки Концентрат коксующегося угля_Коксовые,16073.0
Поставки Концентрат коксующегося угля_Отощающие,912.0
Поставки Кокс_Кокс доменный,4819.0
Поставки Чугун_Литейный чугун,22.0
Поставки Чугун_Передельный чугун,567.0
Поставки ЖРС_Агломерат,3885.0
Поставки ЖРС_Аглоруда,4561.0
Поставки ЖРС_Концентрат,36172.0
Поставки ЖРС_Концентрат для дообогащения,5677.0
Поставки ЖРС_Окатыши,27558.0
Спрос ЖРС_Агломерат,3885.0
Спрос ЖРС_Аглоруда,4561.0
Спрос ЖРС_Концентрат,40738.0
Спрос ЖРС_Концентрат для дообогащения,5650.0
Спрос ЖРС_Окатыши,29230.0
Спрос Металлизованная продукция_ГБЖ,863.0
Спрос Кокс_Кокс доменный,4869.0
Спрос Концентрат коксующегося угля_Жирные,18240.0
Спрос Концентрат коксующегося угля_Коксовые,14710.0
Спрос Концентрат коксующегося угля_Отощающие,912.0
Импорт сырья ЖРС_Концентрат,4539.0
Импорт сырья ЖРС_Окатыши,1838.0
Импорт сырья Концентрат коксующегося угля_Жирные,0.0
Импорт сырья Концентрат коксующегося угля_Коксовые,483.0
Импорт арматуры Сортовой прокат_Арматура,492.0
Импорт арматуры Сортовой прокат_Катанка,134.0
Импорт арматуры Сортовой прокат_Прутки прочие,74.0
Экспорт сырья ЖРС_Агломерат,0.0
Экспорт сырья ЖРС_Аглоруда,192.0
Экспорт сырья ЖРС_Концентрат,3604.0
Экспорт сырья ЖРС_Окатыши,2388.0
Экспорт сырья Кокс_Кокс доменный,292.0
Экспорт сырья Кокс_Мелочь коксовая,51.0
Экспорт сырья Кокс_Орешек коксовый,56.0
Экспорт сырья Концентрат коксующегося угля_Жирные,1530.0
Экспорт сырья Концентрат коксующегося угля_Коксовые,1958.0
Экспорт сырья Концентрат коксующегося угля_Отощающие,0.0
Экспорт сырья Лом_Лом коррозионностойкой стали,0.0
Экспорт сырья Лом_Лом стальной,1.0
Экспорт сырья Лом_Лом чугуна,0.0
Экспорт сырья Металлизованная продукция_Всего отгружено с предприятия,0.0
Экспорт сырья Металлизованная продукция_ГБЖ,125.0
Экспорт сырья Чугун_Всего отгружено с предприятия,0.0
Экспорт сырья Чугун_Литейный чугун,16.0
Экспорт сырья Чугун_Передельный чугун,577.0
Экспорт арматуры Сортовой прокат_Арматура,1455.0
Экспорт арматуры Сортовой прокат_Катанка,797.0
Экспорт арматуры Сортовой прокат_Прутки прочие,608.0
day_of_week,0.0
