dt,Цена на арматуру,log_price,lag_1,lag_2,month,quarter,year
2015-01-19,32000,10.373491181781864,10.388995368317829,10.401227936753463,1,1,2015
2015-01-26,30700,10.332017933575289,10.373491181781864,10.388995368317829,1,1,2015
2015-02-02,30300,10.31890299149746,10.332017933575289,10.373491181781864,2,1,2015
2015-02-09,30300,10.31890299149746,10.31890299149746,10.332017933575289,2,1,2015
2015-02-16,30100,10.312280450736967,10.31890299149746,10.31890299149746,2,1,2015
2015-02-23,29400,10.288749953326773,10.312280450736967,10.31890299149746,2,1,2015
2015-03-02,29200,10.281923988256374,10.288749953326773,10.312280450736967,3,1,2015
2015-03-09,29000,10.275051108968611,10.281923988256374,10.288749953326773,3,1,2015
2015-03-16,28700,10.264652401747712,10.275051108968611,10.281923988256374,3,1,2015
2015-03-23,27800,10.232791299678729,10.264652401747712,10.275051108968611,3,1,2015
2015-03-30,27200,10.210972252284089,10.232791299678729,10.264652401747712,3,1,2015
2015-04-06,26600,10.188666494769791,10.210972252284089,10.232791299678729,4,2,2015
2015-04-13,25700,10.154246270883311,10.188666494769791,10.210972252284089,4,2,2015
2015-04-20,24800,10.118598932153073,10.154246270883311,10.188666494769791,4,2,2015
2015-04-27,24700,10.114558522616068,10.118598932153073,10.154246270883311,4,2,2015
2015-05-04,24300,10.09823162932864,10.114558522616068,10.118598932153073,5,2,2015
2015-05-11,23900,10.081633737919603,10.09823162932864,10.114558522616068,5,2,2015
2015-05-18,24000,10.085809109330082,10.081633737919603,10.09823162932864,5,2,2015
2015-05-25,23700,10.073230327123223,10.085809109330082,10.081633737919603,5,2,2015
2015-06-01,23500,10.06475570013225,10.073230327123223,10.085809109330082,6,2,2015
2015-06-08,23800,10.077440859659566,10.06475570013225,10.073230327123223,6,2,2015
2015-06-15,24400,10.102338411281293,10.077440859659566,10.06475570013225,6,2,2015
2015-06-22,25000,10.126631103850338,10.102338411281293,10.077440859659566,6,2,2015
2015-06-29,25300,10.138559674715612,10.126631103850338,10.102338411281293,6,2,2015
2015-07-06,25500,10.146433731146518,10.138559674715612,10.126631103850338,7,3,2015
2015-07-13,25500,10.146433731146518,10.146433731146518,10.138559674715612,7,3,2015
2015-07-20,25400,10.142504453006628,10.146433731146518,10.146433731146518,7,3,2015
2015-07-27,25200,10.134599273499514,10.142504453006628,10.146433731146518,7,3,2015
2015-08-03,25000,10.126631103850338,10.134599273499514,10.142504453006628,8,3,2015
2015-08-10,24700,10.114558522616068,10.126631103850338,10.134599273499514,8,3,2015
2015-08-17,24400,10.102338411281293,10.114558522616068,10.126631103850338,8,3,2015
2015-08-24,24100,10.089967119478747,10.102338411281293,10.114558522616068,8,3,2015
2015-08-31,24100,10.089967119478747,10.089967119478747,10.102338411281293,8,3,2015
2015-09-07,23900,10.081633737919603,10.089967119478747,10.089967119478747,9,3,2015
2015-09-14,24200,10.094107912144779,10.081633737919603,10.089967119478747,9,3,2015
2015-09-21,24200,10.094107912144779,10.094107912144779,10.081633737919603,9,3,2015
2015-09-28,24000,10.085809109330082,10.094107912144779,10.094107912144779,9,3,2015
2015-10-05,24000,10.085809109330082,10.085809109330082,10.094107912144779,10,4,2015
2015-10-12,23800,10.077440859659566,10.085809109330082,10.085809109330082,10,4,2015
2015-10-19,23800,10.077440859659566,10.077440859659566,10.085809109330082,10,4,2015
2015-10-26,24200,10.094107912144779,10.077440859659566,10.077440859659566,10,4,2015
2015-11-02,24500,10.106428396532818,10.094107912144779,10.077440859659566,11,4,2015
2015-11-09,24500,10.106428396532818,10.106428396532818,10.094107912144779,11,4,2015
2015-11-16,23950,10.083723602839061,10.106428396532818,10.106428396532818,11,4,2015
2015-11-23,23750,10.075337809462788,10.083723602839061,10.106428396532818,11,4,2015
2015-11-30,23100,10.047587896509885,10.075337809462788,10.083723602839061,11,4,2015
2015-12-07,22800,10.034515814942532,10.047587896509885,10.075337809462788,12,4,2015
2015-12-14,22000,9.998797732340453,10.034515814942532,10.047587896509885,12,4,2015
2015-12-21,21700,9.98506753952855,9.998797732340453,10.034515814942532,12,4,2015
2015-12-28,21300,9.966462351697517,9.98506753952855,9.998797732340453,12,4,2015
2016-01-04,21300,9.966462351697517,9.966462351697517,9.98506753952855,1,1,2016
2016-01-11,21300,9.966462351697517,9.966462351697517,9.966462351697517,1,1,2016
2016-01-18,21200,9.961756460660103,9.966462351697517,9.966462351697517,1,1,2016
